Job_ID,Job_Title,Job_Sector,District,Skills_Required,Experience_Level,Salary_Monthly,Job_Count,Company_Name,Employment_Type,Education_Requirement,Industry,Remote_Option,IT_or_Non_IT
TN001,Accountant,Finance,Madurai,Tally;GST;Excel,Entry,21440,108,Infosys,Contract,Bachelor's,Information Technology,No,Non-IT
TN002,HR Executive,Corporate,Chennai,HRMS;Recruitment,Entry,24689,51,Zoho,Full-Time,Bachelor's,Engineering,No,Non-IT
TN003,Web Developer,IT,Thanjavur,HTML;CSS;JavaScript,Senior,51865,69,BYJU'S,Contract,Diploma,Marketing,No,IT
TN004,Mechanical Engineer,Manufacturing,Madurai,CAD;SolidWorks,Entry,20937,126,Infosys,Contract,Master's,Engineering,Yes,Non-IT
TN005,Web Developer,IT,Trichy,HTML;CSS;JavaScript,Mid,37830,124,L&T,Part-Time,Diploma,Retail,No,IT
TN006,Digital Marketer,Marketing,Tiruppur,SEO;Google Ads;Content,Mid,31388,140,Zoho,Full-Time,Diploma,Transport,Yes,Non-IT
TN007,Digital Marketer,Marketing,Thanjavur,SEO;Google Ads;Content,Senior,67236,94,Cognizant,Full-Time,PhD,Retail,No,Non-IT
TN008,Web Developer,IT,Tiruppur,HTML;CSS;JavaScript,Senior,66303,112,L&T,Part-Time,PhD,Construction,Yes,IT
TN009,Accountant,Finance,Vellore,Tally;GST;Excel,Mid,36671,127,TCS,Part-Time,Not Specified,Marketing,No,Non-IT
TN010,Accountant,Finance,Vellore,Tally;GST;Excel,Mid,31025,53,TCS,Full-Time,PhD,Transport,No,Non-IT
TN011,Nurse,Healthcare,Chennai,Patient Care;Nursing Degree,Entry,22613,110,BYJU'S,Contract,Not Specified,Marketing,No,Non-IT
TN012,Logistics Coordinator,Transport,Vellore,Inventory;Coordination,Senior,48222,149,L&T,Internship,Master's,Retail,No,Non-IT
TN013,Mechanical Engineer,Manufacturing,Madurai,CAD;SolidWorks,Mid,31076,73,BYJU'S,Part-Time,Master's,Media,Yes,Non-IT
TN014,Web Developer,IT,Thanjavur,HTML;CSS;JavaScript,Senior,59153,115,HDFC Bank,Full-Time,Bachelor's,Retail,Yes,IT
TN015,HR Executive,Corporate,Thanjavur,HRMS;Recruitment,Senior,67624,116,Apollo Hospitals,Part-Time,PhD,Marketing,Yes,Non-IT
TN016,Logistics Coordinator,Transport,Thanjavur,Inventory;Coordination,Senior,47270,95,TVS Motors,Contract,Bachelor's,Media,Yes,Non-IT
TN017,Accountant,Finance,Thanjavur,Tally;GST;Excel,Mid,37956,84,TVS Motors,Contract,Master's,Engineering,No,Non-IT
TN018,Logistics Coordinator,Transport,Salem,Inventory;Coordination,Mid,28662,52,Zoho,Part-Time,Bachelor's,Information Technology,No,Non-IT
TN019,Civil Engineer,Construction,Vellore,AutoCAD;Project Mgmt,Mid,28011,125,Amazon,Contract,PhD,Transport,Yes,Non-IT
TN020,Logistics Coordinator,Transport,Thanjavur,Inventory;Coordination,Mid,34385,66,L&T,Part-Time,Diploma,Marketing,No,Non-IT
TN021,Teacher,Education,Trichy,Subject Knowledge;B.Ed,Mid,29845,54,Apollo Hospitals,Internship,Master's,Finance,Yes,Non-IT
TN022,Sales Executive,Retail,Tuticorin,Communication;CRM,Entry,24635,77,Amazon,Internship,Not Specified,Media,Yes,Non-IT
TN023,Sales Executive,Retail,Tuticorin,Communication;CRM,Entry,21008,88,TCS,Part-Time,Master's,Healthcare,No,Non-IT
TN024,Data Analyst,IT,Tiruppur,Python;SQL;Excel,Entry,19796,114,Amazon,Part-Time,Master's,Retail,Yes,IT
TN025,Web Developer,IT,Erode,HTML;CSS;JavaScript,Mid,38758,87,TCS,Part-Time,Not Specified,Construction,No,IT
TN026,Sales Executive,Retail,Tiruppur,Communication;CRM,Senior,53602,147,Zoho,Internship,PhD,Construction,No,Non-IT
TN027,AI Engineer,IT,Vellore,Python;ML;TensorFlow,Senior,69676,91,Cognizant,Part-Time,Bachelor's,Healthcare,No,IT
TN028,Digital Marketer,Marketing,Chennai,SEO;Google Ads;Content,Senior,62541,58,BYJU'S,Full-Time,Not Specified,Healthcare,Yes,Non-IT
TN029,Teacher,Education,Trichy,Subject Knowledge;B.Ed,Senior,51847,133,BYJU'S,Full-Time,Not Specified,Construction,No,Non-IT
TN030,Teacher,Education,Chennai,Subject Knowledge;B.Ed,Mid,28619,109,TCS,Contract,Not Specified,Transport,No,Non-IT
TN031,Sales Executive,Retail,Tuticorin,Communication;CRM,Senior,57167,128,Zoho,Part-Time,Bachelor's,Media,No,Non-IT
TN032,AI Engineer,IT,Vellore,Python;ML;TensorFlow,Senior,50715,101,TCS,Contract,PhD,Media,No,IT
TN033,Data Analyst,IT,Vellore,Python;SQL;Excel,Mid,33973,133,Apollo Hospitals,Full-Time,Diploma,Healthcare,No,IT
TN034,HR Executive,Corporate,Salem,HRMS;Recruitment,Entry,27574,74,TVS Motors,Contract,Not Specified,Marketing,No,Non-IT
TN035,Teacher,Education,Chennai,Subject Knowledge;B.Ed,Mid,39291,110,Cognizant,Internship,PhD,Finance,No,Non-IT
TN036,HR Executive,Corporate,Tuticorin,HRMS;Recruitment,Senior,58590,142,BYJU'S,Full-Time,Not Specified,Healthcare,No,Non-IT
TN037,AI Engineer,IT,Coimbatore,Python;ML;TensorFlow,Entry,24540,142,Apollo Hospitals,Contract,Bachelor's,Finance,Yes,IT
TN038,Content Writer,Media,Coimbatore,Writing;SEO;Grammar,Mid,35738,99,L&T,Part-Time,Diploma,Healthcare,Yes,Non-IT
TN039,Content Writer,Media,Tiruppur,Writing;SEO;Grammar,Senior,62803,124,Cognizant,Internship,PhD,Transport,Yes,Non-IT
TN040,Logistics Coordinator,Transport,Vellore,Inventory;Coordination,Senior,68606,114,TCS,Part-Time,Master's,Finance,No,Non-IT
TN041,HR Executive,Corporate,Tuticorin,HRMS;Recruitment,Entry,21748,107,BYJU'S,Part-Time,PhD,Engineering,Yes,Non-IT
TN042,Sales Executive,Retail,Tiruppur,Communication;CRM,Mid,39905,117,L&T,Full-Time,PhD,Construction,No,Non-IT
TN043,Logistics Coordinator,Transport,Tuticorin,Inventory;Coordination,Senior,46272,133,L&T,Internship,Master's,Retail,Yes,Non-IT
TN044,Mechanical Engineer,Manufacturing,Chennai,CAD;SolidWorks,Mid,35049,139,Amazon,Full-Time,Diploma,Healthcare,Yes,Non-IT
TN045,Civil Engineer,Construction,Tiruppur,AutoCAD;Project Mgmt,Senior,69467,132,TCS,Part-Time,Diploma,Education,No,Non-IT
TN046,Accountant,Finance,Erode,Tally;GST;Excel,Mid,32497,87,Zoho,Internship,Master's,Education,Yes,Non-IT
TN047,Data Analyst,IT,Vellore,Python;SQL;Excel,Senior,63182,136,Cognizant,Part-Time,Master's,Media,Yes,IT
TN048,Sales Executive,Retail,Coimbatore,Communication;CRM,Entry,18446,142,L&T,Internship,PhD,Healthcare,No,Non-IT
TN049,Logistics Coordinator,Transport,Trichy,Inventory;Coordination,Senior,65481,77,Amazon,Full-Time,PhD,Retail,No,Non-IT
TN050,HR Executive,Corporate,Thanjavur,HRMS;Recruitment,Entry,20251,53,Cognizant,Internship,Diploma,Marketing,No,Non-IT
TN051,Teacher,Education,Vellore,Subject Knowledge;B.Ed,Senior,57707,125,Amazon,Contract,Not Specified,Information Technology,Yes,Non-IT
TN052,Sales Executive,Retail,Vellore,Communication;CRM,Senior,59693,72,Amazon,Contract,Master's,Information Technology,Yes,Non-IT
TN053,HR Executive,Corporate,Erode,HRMS;Recruitment,Senior,57372,107,Apollo Hospitals,Contract,Diploma,Construction,No,Non-IT
TN054,Logistics Coordinator,Transport,Coimbatore,Inventory;Coordination,Entry,26497,105,TCS,Part-Time,Bachelor's,Transport,Yes,Non-IT
TN055,Web Developer,IT,Madurai,HTML;CSS;JavaScript,Senior,64452,130,Apollo Hospitals,Contract,Bachelor's,Engineering,Yes,IT
TN056,Sales Executive,Retail,Salem,Communication;CRM,Senior,68785,130,BYJU'S,Internship,Diploma,Transport,No,Non-IT
TN057,Pharmacist,Healthcare,Erode,Pharmacy Degree;Licensing,Senior,57444,105,Infosys,Full-Time,Bachelor's,Education,Yes,Non-IT
TN058,Electrician,Skilled Trade,Vellore,Electrical Wiring;License,Senior,60386,117,L&T,Contract,Diploma,Transport,No,Non-IT
TN059,Content Writer,Media,Coimbatore,Writing;SEO;Grammar,Entry,19889,66,TCS,Contract,Master's,Information Technology,No,Non-IT
TN060,Web Developer,IT,Vellore,HTML;CSS;JavaScript,Mid,30905,148,Amazon,Full-Time,Master's,Education,Yes,IT
TN061,Teacher,Education,Thanjavur,Subject Knowledge;B.Ed,Senior,59996,99,Amazon,Contract,Master's,Marketing,Yes,Non-IT
TN062,Sales Executive,Retail,Erode,Communication;CRM,Senior,56586,62,Cognizant,Contract,Not Specified,Marketing,No,Non-IT
TN063,Accountant,Finance,Chennai,Tally;GST;Excel,Entry,22174,65,HDFC Bank,Full-Time,PhD,Education,No,Non-IT
TN064,Sales Executive,Retail,Thanjavur,Communication;CRM,Entry,20320,147,Cognizant,Internship,Master's,Transport,Yes,Non-IT
TN065,Electrician,Skilled Trade,Erode,Electrical Wiring;License,Mid,28317,131,Apollo Hospitals,Internship,Bachelor's,Engineering,Yes,Non-IT
TN066,HR Executive,Corporate,Salem,HRMS;Recruitment,Entry,18773,51,Amazon,Internship,PhD,Construction,Yes,Non-IT
TN067,Civil Engineer,Construction,Tiruppur,AutoCAD;Project Mgmt,Senior,51500,135,Cognizant,Full-Time,Bachelor's,Transport,No,Non-IT
TN068,Pharmacist,Healthcare,Erode,Pharmacy Degree;Licensing,Mid,32241,107,L&T,Contract,Bachelor's,Transport,No,Non-IT
TN069,Web Developer,IT,Erode,HTML;CSS;JavaScript,Mid,35355,98,Apollo Hospitals,Contract,PhD,Healthcare,Yes,IT
TN070,Data Analyst,IT,Thanjavur,Python;SQL;Excel,Entry,25132,104,TCS,Contract,Diploma,Finance,No,IT
TN071,Civil Engineer,Construction,Coimbatore,AutoCAD;Project Mgmt,Mid,38029,78,Infosys,Full-Time,PhD,Information Technology,No,Non-IT
